set_num,part_num,color_id,quantity
75190-1,6141,72,66
75190-1,3020,0,38
75190-1,2780,0,36
75190-1,3710,72,34
75190-1,3666,71,26
75190-1,3069b,72,18
75190-1,99563,71,18
75190-1,98286,71,17
75190-1,3020,71,16
75190-1,6141,35,16
75190-1,63864,71,16
75190-1,15573,0,15
75190-1,2412b,0,15
75190-1,32054,4,15
75190-1,54383,71,15
75190-1,54384,71,15
75190-1,2445,71,14
75190-1,3023,36,14
75190-1,30503,71,14
75190-1,54200,71,14
75190-1,73983,72,14
75190-1,92593,71,14
75190-1,60479,71,13
75190-1,10247,0,12
75190-1,18651,0,12
75190-1,2445,72,12
75190-1,2450,71,12
75190-1,3021,71,12
75190-1,3460,72,12
75190-1,4274,1,12
75190-1,2412b,72,11
75190-1,3004,72,11
75190-1,32002,19,11
75190-1,3795,72,11
75190-1,6141,15,11
75190-1,3023,71,10
75190-1,6536,0,10
75190-1,6632,71,10
75190-1,87580,71,10
75190-1,98138,71,10
75190-1,32000,71,9
75190-1,32073,71,9
75190-1,3666,0,9
75190-1,3705,4,9
75190-1,41678,0,9
75190-1,43722,71,9
75190-1,43723,71,9
75190-1,85984,0,9
75190-1,11214,72,8
75190-1,11215,0,8
75190-1,15392,72,8
75190-1,15403,71,8
75190-1,2654,41,8
75190-1,3713,71,8
75190-1,3941,72,8
75190-1,4032a,71,8
75190-1,60477,72,8
75190-1,6180,71,8
75190-1,18671,72,7
75190-1,3703,71,7
75190-1,4079b,0,7
75190-1,41677,72,7
75190-1,6558,1,7
75190-1,88646,71,7
75190-1,11203,0,6
75190-1,11212,71,6
75190-1,2877,0,6
75190-1,3021,72,6
75190-1,3022,71,6
75190-1,3023,72,6
75190-1,3028,71,6
75190-1,3068b,72,6
75190-1,32184,71,6
75190-1,3795,71,6
75190-1,43719,71,6
75190-1,60483,71,6
75190-1,60897,72,6
75190-1,6134,71,6
75190-1,6141,4,6
75190-1,6141,71,6
75190-1,6636,72,6
75190-1,85984pr0006,72,6
75190-1,87079,71,6
75190-1,92582,0,6
75190-1,24246,71,5
75190-1,24299,72,5
75190-1,24307,72,5
75190-1,2456,72,5
75190-1,3032,0,5
75190-1,30355,71,5
75190-1,30356,71,5
75190-1,32028,71,5
75190-1,32123b,71,5
75190-1,3623,0,5
75190-1,4477,0,5
75190-1,54383,72,5
75190-1,54384,72,5
75190-1,88646,0,5
75190-1,2420,28,4
75190-1,2445,0,4
75190-1,2639,28,4
75190-1,3024,4,4
75190-1,3028,72,4
75190-1,30383,72,4
75190-1,32062,4,4
75190-1,32140,72,4
75190-1,32250,72,4
75190-1,32316,71,4
75190-1,3623,71,4
75190-1,54383,0,4
75190-1,54384,0,4
75190-1,92947,0,4
75190-1,2431,0,3
75190-1,298c02,0,3
75190-1,3010,72,3
75190-1,3021,28,3
75190-1,3035,71,3
75190-1,3068b,0,3
75190-1,32009,71,3
75190-1,32028,72,3
75190-1,32123b,14,3
75190-1,3623,72,3
75190-1,3700,4,3
75190-1,3710,0,3
75190-1,3795,0,3
75190-1,43898,41,3
75190-1,50949,0,3
75190-1,54200,0,3
75190-1,56145,71,3
75190-1,61409,71,3
75190-1,6141,41,3
75190-1,62462,71,3
75190-1,6587,28,3
75190-1,85984,71,3
75190-1,87079,0,3
75190-1,90194,72,3
75190-1,98989,71,3
75190-1,14720,71,2
75190-1,15573,72,2
75190-1,2412b,71,2
75190-1,2420,72,2
75190-1,2432,71,2
75190-1,2449,0,2
75190-1,2450,72,2
75190-1,2654,0,2
75190-1,26601,71,2
75190-1,26603,71,2
75190-1,27263,72,2
75190-1,27925,71,2
75190-1,3008,71,2
75190-1,3009,71,2
75190-1,3021,0,2
75190-1,3021,4,2
75190-1,3022,1,2
75190-1,3022,0,2
75190-1,3029,0,2
75190-1,3030,72,2
75190-1,3031,0,2
75190-1,3031,72,2
75190-1,3032,72,2
75190-1,3036,71,2
75190-1,30503,0,2
75190-1,30540,0,2
75190-1,3062b,71,2
75190-1,32000,0,2
75190-1,32013,320,2
75190-1,32018,72,2
75190-1,32039,0,2
75190-1,32138,0,2
75190-1,32291,4,2
75190-1,3623,4,2
75190-1,3626cpr1149,78,2
75190-1,3707,0,2
75190-1,3710,71,2
75190-1,3747b,71,2
75190-1,3894,72,2
75190-1,3938,71,2
75190-1,3958,72,2
75190-1,4032a,72,2
75190-1,4162,0,2
75190-1,4162,71,2
75190-1,42003,4,2
75190-1,42023,72,2
75190-1,4282,0,2
75190-1,4287a,72,2
75190-1,43093,1,2
75190-1,43722,0,2
75190-1,43723,0,2
75190-1,44301a,71,2
75190-1,44728,71,2
75190-1,4519,71,2
75190-1,4599b,71,2
75190-1,4865b,71,2
75190-1,50304,0,2
75190-1,50304,71,2
75190-1,50305,0,2
75190-1,50305,71,2
75190-1,51739,71,2
75190-1,51739,0,2
75190-1,58247,0,2
75190-1,60481,72,2
75190-1,60581,0,2
75190-1,60897,71,2
75190-1,6091,0,2
75190-1,63864,0,2
75190-1,6629,0,2
75190-1,6636,71,2
75190-1,91988,0,2
75190-1,92738,0,2
75190-1,970c00pr0954,15,2
75190-1,973pr3165c01,15,2
75190-1,98138,0,2
75190-1,99207,0,2
75190-1,11212,72,1
75190-1,11215,71,1
75190-1,11458,72,1
75190-1,14769,0,1
75190-1,15092,72,1
75190-1,15208,72,1
75190-1,15712,72,1
75190-1,16091,0,1
75190-1,16478,41,1
75190-1,20953pr0002,0,1
75190-1,20954pr0050,148,1
75190-1,22385,71,1
75190-1,23813pr0002,15,1
75190-1,2420,0,1
75190-1,24316,70,1
75190-1,26601,72,1
75190-1,2730,71,1
75190-1,2877,71,1
75190-1,2921,71,1
75190-1,3020,72,1
75190-1,3029,71,1
75190-1,3034,71,1
75190-1,30374,0,1
75190-1,3039,0,1
75190-1,30414,71,1
75190-1,32059,72,1
75190-1,32064a,15,1
75190-1,32474,71,1
75190-1,32523,4,1
75190-1,32968,0,1
75190-1,3298,72,1
75190-1,33492pr0001,0,1
75190-1,34997,9999,1
75190-1,3622,71,1
75190-1,3626cpr1363,78,1
75190-1,3626cpr1587,78,1
75190-1,3626cpr2379,78,1
75190-1,3660,72,1
75190-1,3701,0,1
75190-1,3702,0,1
75190-1,3713,4,1
75190-1,3832,72,1
75190-1,3942c,0,1
75190-1,43722,72,1
75190-1,43722,4,1
75190-1,43723,72,1
75190-1,43723,4,1
75190-1,4519,14,1
75190-1,4590,72,1
75190-1,4733,72,1
75190-1,4740,57,1
75190-1,4740,0,1
75190-1,47457,71,1
75190-1,50304,28,1
75190-1,50305,28,1
75190-1,50745,0,1
75190-1,59426,72,1
75190-1,59900,0,1
75190-1,60471,71,1
75190-1,60471,0,1
75190-1,60849,71,1
75190-1,6111,72,1
75190-1,6178,71,1
75190-1,6179,0,1
75190-1,6232,19,1
75190-1,64644,0,1
75190-1,6553,72,1
75190-1,85941,71,1
75190-1,87544,0,1
75190-1,88072,0,1
75190-1,96874,25,1
75190-1,970c00,148,1
75190-1,970c00,0,1
75190-1,970c00pr1379,297,1
75190-1,973pr3158c01,0,1
75190-1,973pr3992c01,297,1
75190-1,973pr3995c01,148,1
75190-1,98285,71,1
75190-1,99780,71,1
75190-1,99781,0,1
